,Topics,Probability,Date_uploaded
0,thehill,0.00773,2020-04-28
1,updates,0.00718,2020-04-28
2,johnson-care,0.006640000000000001,2020-04-28
3,health,0.00657,2020-04-28
4,death,0.008879999999999999,2020-04-28
5,leaders-check,0.00647,2020-04-28
6,pandemic,0.00911,2020-04-28
7,house-white,0.007670000000000001,2020-04-28
8,restrictions,0.0065,2020-04-28
9,business,0.00558,2020-04-28
10,report,0.0071400000000000005,2020-04-28
11,help-crisis,0.007790000000000001,2020-04-28
12,home,0.00626,2020-04-28
13,push-easter,0.00704,2020-04-28
14,testing-lockdown,0.00705,2020-04-28
15,dies,0.00603,2020-04-28
16,people-country,0.00733,2020-04-28
17,trump,0.00715,2020-04-28
18,china,0.007890000000000001,2020-04-28
19,virus,0.0078,2020-04-28
